xc,yc
-167.82965,65.5214
-167.81541,65.52765
-167.80116,65.53389
-167.78693,65.54012
-167.77266,65.546364
-167.7584,65.5526
-167.74414,65.55884
-167.72987,65.56507
-167.7156,65.571304
-167.70132,65.57753
-167.68704,65.58376
-167.67274,65.58999
-167.65845,65.59622
-167.64415,65.60244
-167.62985,65.608665
-167.61554,65.61489
-167.60123,65.62111
-167.5869,65.627335
-167.57257,65.63355
-167.55824,65.63977
-167.5439,65.64598
-167.52957,65.6522
-167.51521,65.65841
-167.50087,65.66462
-167.48651,65.67083
-167.47215,65.67704
-167.45778,65.68325
-167.4434,65.68945
-167.42903,65.69566
-167.41464,65.701866
-167.40025,65.70807
-167.38586,65.714264
-167.37148,65.72047
-167.35707,65.72666
-167.34265,65.73286
-167.32825,65.73905
-167.31383,65.74525
-167.2994,65.75144
-167.28497,65.75763
-167.27054,65.76382
-167.25609,65.77001
-167.24165,65.77619
-167.2272,65.78238
-167.21274,65.78857
-167.19829,65.79475
-167.18382,65.80093
-167.16934,65.807106
-167.15486,65.813286
-167.14038,65.819466
-167.1259,65.82564
-167.1114,65.83181
-167.09691,65.83798
-167.08241,65.844154
-167.0679,65.85033
-167.05339,65.85649
-167.03886,65.86266
-167.02434,65.86883
-167.00981,65.87499
-166.99529,65.88115
-166.98074,65.887314
-166.9662,65.89347
-166.95164,65.899635
-166.93709,65.90579
-166.92253,65.91194
-166.90796,65.9181
-166.86424,65.936554
-166.84966,65.9427
-166.83505,65.94885
-166.82047,65.954994
-166.80586,65.96114
-166.79124,65.967285
-166.77664,65.97343
-166.76202,65.97957
-166.74739,65.9857
-166.73276,65.991844
-166.71812,65.99798
-166.70349,66.00411
-166.68884,66.01025
-166.6742,66.01637
-166.65955,66.02251
-166.64488,66.02863
-166.63022,66.03476
-166.61554,66.040886
-166.60086,66.04701
-166.58618,66.05314
-166.5715,66.05926
-166.55681,66.06538
-166.5421,66.071495
-166.5274,66.077614
-166.5127,66.08373
-166.49799,66.08984
-166.48326,66.095955
-166.46854,66.10207
-166.45381,66.10818
-166.43907,66.11429
-166.42433,66.1204
-166.40959,66.1265
-166.39484,66.13261
-166.38008,66.13871
-166.36531,66.14481
-166.35056,66.15091
-166.321,66.16311
-166.29143,66.1753
-166.26184,66.187485
-166.24702,66.19357
-166.23222,66.19966
-166.2174,66.20575
-166.20259,66.21184
-166.18776,66.217926
-166.14325,66.23617
-166.1284,66.24225
-166.11354,66.24832
-166.0987,66.2544
-166.06895,66.26655
-167.8146,65.515495
-167.80037,65.521736
-167.78612,65.52798
-167.77187,65.53422
-167.75761,65.54045
-167.74336,65.54669
-167.7291,65.552925
-167.71483,65.55916
-167.70055,65.56539
-167.68628,65.57162
-167.67198,65.57785
-167.6577,65.584076
-167.6434,65.5903
-167.6291,65.59653
-167.61479,65.60275
-167.60048,65.60897
-167.58617,65.6152
-167.57185,65.621414
-167.55753,65.62763
-167.5432,65.63385
-167.52885,65.64006
-167.51451,65.64628
-167.50017,65.65249
-167.48581,65.6587
-167.47145,65.66491
-167.45709,65.67112
-167.44273,65.67732
-167.42836,65.68353
-167.41397,65.689735
-167.3996,65.69594
-167.38521,65.70214
-167.37082,65.708336
-167.35641,65.71454
-167.34201,65.72073
-167.3276,65.72693
-167.31319,65.73312
-167.29877,65.73932
-167.28435,65.74551
-167.26991,65.7517
-167.25548,65.75789
-167.24104,65.76408
-167.2266,65.770256
-167.21214,65.77644
-167.1977,65.78263
-167.18323,65.78881
-167.16876,65.79499
-167.15428,65.80117
-167.13982,65.80734
-167.12532,65.81352
-167.11084,65.819695
-167.09634,65.82587
-167.08185,65.83204
-167.06735,65.83821
-167.05284,65.84438
-167.03833,65.85055
-167.0238,65.85671
-167.00928,65.86288
-166.99475,65.86904
-166.98022,65.875206
-166.96568,65.88136
-166.95114,65.88753
-166.93658,65.893684
-166.92203,65.89984
-166.90747,65.90599
-166.8929,65.91215
-166.87833,65.9183
-166.86375,65.92445
-166.84917,65.9306
-166.83458,65.936745
-166.81999,65.942894
-166.80539,65.949036
-166.79079,65.955185
-166.77618,65.96133
-166.76157,65.96747
-166.74695,65.9736
-166.73233,65.979744
-166.7177,65.98588
-166.70306,65.99201
-166.68843,65.998146
-166.67378,66.00428
-166.65913,66.010414
-166.64447,66.01654
-166.62982,66.02267
-166.61514,66.02879
-166.60048,66.03492
-166.5858,66.041046
-166.57112,66.047165
-166.55643,66.05329
-166.54173,66.05941
-166.52704,66.06553
-166.51233,66.07165
-166.49763,66.07776
-166.48291,66.08387
-166.4682,66.08999
-166.45348,66.0961
-166.43874,66.1022
-166.42401,66.108315
-166.40927,66.11442
-166.39452,66.12053
-166.37976,66.12663
-166.365,66.13274
-166.35025,66.13883
-166.33548,66.144936
-166.32071,66.15103
-166.30594,66.15713
-166.29115,66.16322
-166.27635,66.16932
-166.24677,66.1815
-166.20233,66.19977
-166.18752,66.20585
-166.17268,66.21194
-166.14302,66.2241
-166.12817,66.23018
-166.11333,66.23626
-166.09848,66.24233
-166.08362,66.248405
-166.06876,66.254486
-166.0539,66.26055
-166.03902,66.266624
-165.99435,66.28483
-165.97946,66.29089
-167.78532,65.51583
-167.77107,65.52207
-167.75684,65.528305
-167.74257,65.534546
-167.72832,65.54078
-167.71405,65.54701
-167.69978,65.553246
-167.6855,65.55948
-167.67123,65.565704
-167.65694,65.57194
-167.64265,65.57816
-167.62836,65.58439
-167.61406,65.590614
-167.59975,65.59683
-167.58543,65.60306
-167.57112,65.609276
-167.55681,65.61549
-167.54248,65.62171
-167.52815,65.62793
-167.51381,65.63414
-167.49947,65.64036
-167.48512,65.64657
-167.47076,65.65278
-167.4564,65.65899
-167.44205,65.66519
-167.42767,65.6714
-167.4133,65.677605
-167.39893,65.68381
-167.38455,65.69001
-167.37016,65.69621
-167.35576,65.70241
-167.34137,65.7086
-167.32697,65.714806
-167.31255,65.721
-167.29814,65.72719
-167.28372,65.73338
-167.26929,65.73957
-167.25487,65.745766
-167.24043,65.75195
-167.22598,65.75814
-167.21155,65.76432
-167.19708,65.77051
-167.18263,65.77669
-167.16817,65.78287
-167.1537,65.78905
-167.13924,65.79523
-167.12476,65.80141
-167.11028,65.80758
